时间,白屏时间,用户可操作时间,总下载时间
1557131735760,68,70,71
1557132749350,21,22,23
1557132758960,26,27,27
1557132774366,118,119,121
1557132951173,10807,10809,10809
1557133055573,23,24,24
1557133057920,26,27,28
1557133076289,17,18,19
1557133668712,24,26,26
1557134790400,36,37,38
1557134946595,26,27,27
1557134958600,22,23,23
1557134971694,104,224,228
1557135004844,16,23,24
1557135075547,13,20,21
1557135392518,37,39,39
1557135422067,20,22,22
1557135450157,46,47,48
1557135536458,20,21,22
1557135536458,20,21,22
1557135536458,20,21,22
1557135564456,29,31,32
1557135564456,41,44,45
1557135564456,41,44,45
1557135564456,41,44,45
1557135564456,41,44,45
1557135564456,41,44,45
1557135564456,29,31,32
1557135564456,29,31,32
1557135564456,41,44,45
1557135628161,40,42,43
1557135628161,40,42,43
1557135628161,41,43,44
1557135813969,71,74,75
1557135843734,778,787,793
1557135922496,94,95,96
1557136382308,29,30,30
1557136403892,21,22,23
1557136465181,30,31,31
1557136512052,29,29,30